citation_key,year,venue,dataset,night_hours_excluded,baseline_used,skill_score_reported,weather_source,split_type,n_seeds,variance_reported,code_available,key_claim,notes,evidence_level,leakage_flag
abumohsen2024cnnlstmrf,2024,e-Prime 9:100636,proprietary 5045 records ~14 months Jun2022-Jul2023,not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,R2 0.92 RMSE 0.07kW MAE 0.05kW,"no reference forecast of any kind | weather_source=measured is a simplification: power/temp are on-site SCADA, but wind/humidity/pressure are sourced from NASA POWER (nasa.gov), whose data-generation method (station vs modeled) this paper never states | PRE-NORMALIZATION RAW VALUES (2026-08-07): night_hours_excluded='not stated'; split_type='80/20 chronology not stated'; code_available='not stated'; n_seeds='not stated'",quoted,none
xu2025lstmxgboosteemdso,2025,Scientific Reports 15:30177,proprietary PV plant,not_stated,own_components,no,measured,not_stated,not_stated,no,not_stated,reports -66.08% RMSE vs XGBoost,EEMD + Pearson feature selection described before any split; paper does not state they are train-only | PRE-NORMALIZATION RAW VALUES (2026-08-07): night_hours_excluded='not stated'; baseline_used='own components (XGBoost and LSTM)'; split_type='not stated where split occurs'; code_available='not stated'; n_seeds='not stated',summary_only,none
energyeng2025cnnlstmcascade,2025,Energy Engineering 122(5):1975-1999,one year Shanghai PV station,partial,none,no,measured,k-fold,not_stated,no,not_stated,,random k-fold on time series = L3.1 temporal leakage in hyperparameter selection; PCC+MI feature selection before split | PRE-NORMALIZATION RAW VALUES (2026-08-07): split_type='8:2 plus random k-fold CV for GridSearchCV'; code_available='not stated'; n_seeds='not stated' | night_hours_excluded raw value was 'partial (forecasts limited to 05:00-19:00)'; forecasts limited to 05:00-19:00 clock hours,summary_only,none
mayer2022physmlhybrid,2022,Renewable and Sustainable Energy Reviews 168:112772,"14 ground-mounted PV plants, Hungary, 2019-2021, day-ahead AROME NWP forecasts (24-48h, 15-min)",yes,convex,yes,NWP_forecast,chronological,not_stated,no,not_stated,"Day-ahead (24-48h) hybrid physical+ML model for 14 Hungarian PV plants cuts MAE 5.2% vs optimized physical chain and 10.4% vs pure ML, with >=1yr training data (train 2019-2020, test 2021).","Reference is Yang-et-al optimal convex(climatology,persistence) skill score, w fit on same construction this project uses. Explicit chronological split w/ stated test-year isolation. Data confidential; code not_stated.",quoted,none
zhou2024cnnlstmattnbayes,2024,Global Energy Interconnection 7(5):667-681,"DKASC (SAME dataset as this project), 2020-2021, 5-min, 12 features incl. 2 columns this project drops as leakage traps",yes,other_ML,no,measured,chronological,not_stated,no,not_stated,CNN-LSTM-attention + Bayesian tuning beats LSTM/GRU/CNN-LSTM/CNN-LSTM+AE on DKASC by R2/MAE/RMSE over 'smooth' vs 'fluctuating' periods; horizon and test-set scope never stated.,Uses SAME DKASC dataset as this project. Feeds weather AT TARGET TIME as input (this project's 'oracle' upper bound) w/o labeling it as one. MAPE 57-69% w/ no near-zero-denominator handling stated. No naive baseline at all.,quoted,documented
li2022eemdssalstm,2022,Energy Reports 8:9919-9932,"100MW PV plant, Zhejiang China, ONE MONTH (Apr 2017) only, 15-min, daytime 7:00-18:00",yes,own_components,no,measured,not_stated,not_stated,no,not_stated,"PCC-EEMD-SSA-LSTM on 1 month of 100MW-plant data: R2=99.71%/MAE=1.40/RMSE=1.76 vs plain LSTM R2=88.93%/MAE=9.05/RMSE=10.82, 9:1 split (ordering not stated); horizon never stated.","MAJOR FLAG: paper states EEMD decomposition done on full series BEFORE train/test split ('divide the reconstructed components... into training and test sets') - explicit leakage-pattern ordering, not inferred. Only 1 month of data. Split ratio given, ordering not_stated.",quoted,documented
hou2024vmdwoalstm,2024,Energy Reports 11:5125-5138,"Yulara Solar System (DKA Solar Centre), 1.8MW, Uluru Australia, full year 2018, hourly, daytime 7am-7pm, n=4745",yes,own_components,no,measured,not_stated,not_stated,no,not_stated,"1h-ahead WOA-VMD-LSTM on Yulara(DKASC) 2018: MAE=15.25kW/RMSE=19.75kW/MAPE=4.41%/R2=0.997, vs LSTM improved 85%/87%/83%/+23%R2. 70/30 split ('previous 70%').","SAME DKA Solar Centre network as this project (Yulara site - named in our own FUTURE_WORK.md). 2nd DKASC-family paper in batch. split='previous 70%' (chronological, minor ambiguity). MAPE well-behaved unlike other papers here.",quoted,none
nadour2026cnnbilstm,2026,Energy Reports 15:109119,"Ghardaia multi-tech PV plant, Algeria, 2018-2019 hourly, h=1, 16843/17520 samples (96.1%)",not_stated,other_ML,no,measured,chronological,not_stated,no,not_stated,"h=1 CNN-biLSTM on Ghardaia plant (strict chronological 70/30 split, scaler fit train-only): R2=0.99848, RMSE=0.594W, MAE=0.398W, nRMSErange=1.18%, beats MLP/SVR/RF/CNN-LSTM.","Most rigorous paper in batch: explicit chronological split, scaler fit train-only w/ stated leakage rationale, bootstrap 95% CIs (not seed variance though), explicit h=1. Still: no naive baseline at all, night handling not_stated.",quoted,none
molu2024bilstmaadc,2024,Results in Engineering 23:102461,"Solar irradiance probe (WS501-UMB), Douala IUT, Cameroon (IRRADIANCE not power)",not_stated,own_components,no,measured,not_stated,20,no,not_stated,"Next-day irradiance: BiLSTM-AADC RMSE=17.07/MAE=57.52/sMAPE=0.66/NRMSE=0.23 (mean of 20 runs), beats ANN/LSTM/BiLSTM/BiLSTM-AA; degrades gracefully to 5/7/15-day horizons.",MAJOR: abstract's RMSE=22.94 is from the 5-day table but sMAPE/NRMSE quoted alongside are from the next-day table - mixed horizons in one sentence. Also next-day proposed-model row has MAE>RMSE (impossible; maybe extraction artifact).,quoted,none
saxena2024knnsvm,2024,Environmental Challenges 14:100838,"Jodhpur (India) dataset via Meteonorm (ambiguous: synthetic TMY vs real station data, not stated)",not_stated,other_ML,no,not_stated,not_stated,not_stated,no,not_stated,KNN-SVM hybrid beats LSTM by 7.1% accuracy/6.6% sensitivity/7.3% specificity on HTPEG (PV energy); '98% accuracy' headline. NO RMSE/MAE/R2 reported for test results.,"MAJOR: continuous PV-power task evaluated ONLY with classification metrics (accuracy/sensitivity/specificity, TP/FN-based) - no stated binarization, no regression metric at all. Data-availability statement contradicts own dataset description.",quoted,none
